sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_bmasse_missing,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing,pl_bmasse_log,pl_rade_log,pl_orbper_log,pl_orbsmax_log,pl_eqt_log,sy_dist_log,st_mass_log,st_rad_log,st_teff_log
2,1,Radial Velocity,479.1,1.19,2.4,1233.13,0.38,903.0,K1.5 III,4200.0,22.03,0.98,-0.46,1.71,276.4975053,65.5633652,90.6545,4.8262,2.085,4.43216,0,1,0,0,0,0,0,0,0,0,0,0,0,7.118121547376866,1.2237754316221157,6.173994415536895,0.7839015438284094,6.806829360392176,4.51802607291669,0.6830968447064438,3.136797713832594,8.343077871169383
1,3,Radial Velocity,1078.0,2.1,2.4,804.08,0.032,903.0,Unknown,5872.0,1.21,1.06,0.04,4.3,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837,0,1,0,0,0,0,0,0,0,0,0,0,0,6.690941651362797,1.2237754316221157,6.983789965258135,1.1314021114911006,6.806829360392176,2.6944041829349272,0.7227059828014898,0.7929925155296614,8.67812085552252
1,3,Radial Velocity,2391.0,3.6,2.4,171.621,0.098,903.0,Unknown,5872.0,1.21,1.06,0.04,4.3,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837,0,1,0,0,0,0,0,0,0,0,0,0,0,5.151098439846218,1.2237754316221157,7.779885115070522,1.5260563034950492,6.806829360392176,2.6944041829349272,0.7227059828014898,0.7929925155296614,8.67812085552252
1,3,Radial Velocity,14002.0,11.6,2.4,521.22,0.16,903.0,Unknown,5872.0,1.21,1.06,0.04,4.3,164.8647611,40.4304931,13.7967,5.03352,3.75,4.87837,0,1,0,0,0,0,0,0,0,0,0,0,0,6.2580889550337275,1.2237754316221157,9.547026871355778,2.533696813957432,6.806829360392176,2.6944041829349272,0.7227059828014898,0.7929925155296614,8.67812085552252
3,1,Other,11.267014645,13.2,2.4,635.66,0.086,700.0,F0 IV,5551.0,0.95,1.75,-0.027,4.46,69.4007424,-2.4738245,29.7575,5.21149,4.537,5.15806,0,1,1,0,1,1,1,0,0,1,0,0,0,6.456235761113554,1.2237754316221157,2.5069139239033302,2.653241964607215,6.55250788703459,3.426133866952187,1.0116009116784799,0.6678293725756554,8.62191350218664
1,1,Radial Velocity,4.230785,0.0527,2.4,150.009,0.013,903.0,Unknown,5758.0,1.18,1.03,0.18,4.31,344.3675399,20.7690958,15.4614,5.45309,3.911,5.28647,0,1,0,0,0,0,0,0,0,0,0,0,0,5.017339437687763,1.2237754316221157,1.6545613624159081,0.05135829227514207,6.806829360392176,2.801018246309987,0.708035793053696,0.7793248768009976,8.658519127506672
2,5,Radial Velocity,14.6516,0.1134,2.4,255.4,0.0,903.0,Unknown,5172.0,0.94,0.91,0.35,4.43,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973,0,1,0,0,0,0,0,0,0,0,0,0,0,5.546738725046515,1.2237754316221157,2.7505731481821005,0.10741839676727034,6.806829360392176,2.609003047500976,0.6471032420585384,0.6626879730752367,8.551208070003515
2,5,Radial Velocity,44.3989,0.2373,2.4,51.2,0.03,903.0,Unknown,5172.0,0.94,0.91,0.35,4.43,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973,0,1,0,0,0,0,0,0,0,0,0,0,0,3.955082494888593,1.2237754316221157,3.8154878756788837,0.212931586237793,6.806829360392176,2.609003047500976,0.6471032420585384,0.6626879730752367,8.551208070003515
2,5,Radial Velocity,5574.2,5.957,2.4,991.6,0.13,903.0,Unknown,5172.0,0.94,0.91,0.35,4.43,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973,0,1,0,0,0,0,0,0,0,0,0,0,0,6.90032776315334,1.2237754316221157,8.626083470124309,1.9397483469415042,6.806829360392176,2.609003047500976,0.6471032420585384,0.6626879730752367,8.551208070003515
2,5,Radial Velocity,0.7365474,0.01544,1.875,7.99,0.05,903.0,Unknown,5172.0,0.94,0.91,0.35,4.43,133.1468373,28.3298154,12.5855,5.95084,4.015,5.72973,0,0,0,0,0,0,0,0,0,0,0,0,0,2.196112848483529,1.0560526742493137,0.5518988891150868,0.015322016097784675,6.806829360392176,2.609003047500976,0.6471032420585384,0.6626879730752367,8.551208070003515
